epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8967,0.27989,0.28613,0.56389,0.88925,0.82556,0.88986,0.95452,0.94764,0.82556,0.88986,0.95452,0.9466,0.22639,0.17302,0.71043,0.83153,0.00015827,0.00015827,0.00015827
2,144.251,0.284,0.24767,0.46663,0.88921,0.90838,0.87356,0.95887,0.92605,0.90838,0.87356,0.95887,0.94069,0.30347,0.23937,0.70916,0.89222,0.000324791,0.000324791,0.000324791
3,215.213,0.30259,0.25944,0.49569,0.89672,0.9232,0.8695,0.96018,0.92564,0.9232,0.8695,0.96018,0.95023,0.29508,0.20304,0.594,0.88197,0.00049099,0.00049099,0.00049099
4,286.021,0.33279,0.30688,0.51121,0.91069,0.96918,0.924,0.97872,0.92408,0.96918,0.924,0.97872,0.96116,0.39882,0.21311,0.57048,0.98131,0.000656624,0.000656624,0.000656624
5,357.621,0.35206,0.30587,0.54615,0.90819,0.79448,0.82632,0.89688,0.84342,0.79448,0.82632,0.89688,0.87611,0.3792,0.25987,1.05299,0.97949,0.000821451,0.000821451,0.000821451
6,428.693,0.34679,0.30041,0.54426,0.89761,0.88836,0.89203,0.96073,0.90568,0.88836,0.89203,0.96073,0.94543,0.36883,0.2279,0.78197,0.93672,0.000827923,0.000827923,0.000827923
7,499.299,0.34746,0.31055,0.60244,0.91329,0.8997,0.9267,0.99031,0.91082,0.8997,0.9267,0.99031,0.95205,0.39949,0.21364,0.71227,0.95268,0.000825696,0.000825696,0.000825696
8,570.316,0.34277,0.31725,0.52736,0.90349,0.90738,0.95927,0.99248,0.92117,0.90738,0.95927,0.99248,0.96245,0.40636,0.23857,0.59757,0.96316,0.00082307,0.00082307,0.00082307
9,640.979,0.35421,0.28816,0.5376,0.907,0.96148,0.95616,0.99325,0.94573,0.96148,0.95616,0.99325,0.95977,0.38978,0.28926,0.53994,0.97015,0.000820046,0.000820046,0.000820046
10,712.445,0.36837,0.30925,0.51423,0.91764,0.93519,0.92032,0.97596,0.93699,0.93519,0.92032,0.97596,0.96225,0.33946,0.19119,0.66613,0.91495,0.000816628,0.000816628,0.000816628
11,783.814,0.35986,0.27121,0.50402,0.8975,0.94144,0.90513,0.95947,0.93699,0.94144,0.90513,0.95947,0.9501,0.30988,0.20515,0.64384,0.879,0.000812819,0.000812819,0.000812819
12,854.547,0.36007,0.27044,0.50479,0.9096,0.93762,0.83963,0.97894,0.94092,0.93762,0.83963,0.97894,0.95679,0.33585,0.21047,0.66621,0.91344,0.000808623,0.000808623,0.000808623
13,925.711,0.37148,0.3103,0.5378,0.92688,0.88019,0.89108,0.97978,0.94511,0.88019,0.89108,0.98135,0.95564,0.34489,0.2406,0.71426,0.90503,0.000804044,0.000804044,0.000804044
14,996.826,0.34071,0.29059,0.50603,0.90091,0.863,0.92464,0.94081,0.91009,0.863,0.92464,0.94081,0.91848,0.31432,0.23195,0.54786,0.88881,0.000799087,0.000799087,0.000799087
15,1067.92,0.31611,0.30127,0.47743,0.90312,0.8868,0.91862,0.94963,0.92724,0.8868,0.91862,0.94963,0.88689,0.29347,0.82778,0.60124,0.89568,0.000793757,0.000793757,0.000793757
16,1139.23,0.34304,0.34541,0.46603,0.92139,0.91622,0.93119,0.98122,0.94545,0.91622,0.93119,0.98122,0.94312,0.30509,0.52917,0.56843,0.89312,0.000788058,0.000788058,0.000788058
17,1210.17,0.32367,0.26191,0.44483,0.90699,0.86769,0.92185,0.97508,0.93937,0.86769,0.92185,0.97508,0.95452,0.32774,0.18902,0.56306,0.89822,0.000781997,0.000781997,0.000781997
18,1281.28,0.31374,0.29686,0.45044,0.90787,0.95079,0.96923,0.98335,0.9513,0.95079,0.96923,0.98335,0.97347,0.29726,0.18683,0.53727,0.88306,0.000775579,0.000775579,0.000775579
19,1352.82,0.32338,0.29286,0.47088,0.90008,0.97843,0.98252,0.99391,0.96622,0.97843,0.98252,0.99391,0.98508,0.30408,0.22623,0.37056,0.87535,0.000768811,0.000768811,0.000768811
20,1423.84,0.34441,0.31535,0.45903,0.91451,0.87166,0.9188,0.93966,0.884,0.87166,0.9188,0.93966,0.91387,0.35663,0.23951,0.58628,0.92682,0.000761699,0.000761699,0.000761699
21,1494.68,0.33816,0.29549,0.42027,0.9056,0.77518,0.89004,0.93118,0.9031,0.77518,0.89004,0.93118,0.92152,0.31814,0.21073,0.78682,0.8809,0.000754251,0.000754251,0.000754251
22,1564.97,0.36698,0.2832,0.4376,0.9009,0.93498,0.93279,0.995,0.97108,0.93498,0.93279,0.995,0.9777,0.29892,0.20468,0.41832,0.87899,0.000746474,0.000746474,0.000746474
23,1634.89,0.32806,0.28849,0.4427,0.89539,0.97485,0.97872,0.99333,0.95537,0.97485,0.97872,0.99333,0.96919,0.30032,0.1862,0.36431,0.88123,0.000738375,0.000738375,0.000738375
24,1705.07,0.30143,0.26766,0.43915,0.89828,0.98071,0.99261,0.995,0.96978,0.98071,0.99261,0.995,0.9803,0.2888,0.22078,0.30997,0.86976,0.000729962,0.000729962,0.000729962
25,1775.09,0.32703,0.30619,0.48894,0.89167,0.96839,0.9743,0.995,0.97476,0.96839,0.9743,0.995,0.98848,0.26092,0.17859,0.30218,0.8488,0.000721244,0.000721244,0.000721244
26,1845.19,0.31902,0.27553,0.42316,0.89686,0.97376,0.99426,0.995,0.98616,0.97376,0.99426,0.995,0.99382,0.25062,0.17756,0.3163,0.8446,0.00071223,0.00071223,0.00071223
27,1915.77,0.31121,0.266,0.42462,0.90143,0.96341,0.94761,0.98375,0.96093,0.96341,0.94761,0.98375,0.97649,0.26948,0.17991,0.38958,0.84984,0.000702928,0.000702928,0.000702928
28,1986.09,0.30514,0.27474,0.38652,0.89561,0.98805,0.99539,0.995,0.97351,0.98805,0.99539,0.995,0.9905,0.28532,0.18368,0.32734,0.86182,0.000693347,0.000693347,0.000693347
29,2056.59,0.29339,0.26533,0.41678,0.89341,0.95067,0.95511,0.98984,0.94469,0.95067,0.95511,0.98984,0.97591,0.33585,0.19507,0.42264,0.89075,0.000683497,0.000683497,0.000683497
30,2127.07,0.30548,0.25288,0.38606,0.90006,0.98161,0.99306,0.99467,0.97859,0.98161,0.99306,0.99467,0.98787,0.31125,0.19093,0.30826,0.88558,0.000673388,0.000673388,0.000673388
31,2197.21,0.29307,0.27721,0.39644,0.8925,0.94117,0.96867,0.99406,0.97693,0.94117,0.96867,0.99406,0.98068,0.30768,0.19044,0.3561,0.88413,0.000663029,0.000663029,0.000663029
32,2267.56,0.28595,0.26687,0.35576,0.8935,0.96227,0.98582,0.995,0.98106,0.96227,0.98582,0.995,0.99293,0.25683,0.17885,0.32436,0.84192,0.000652432,0.000652432,0.000652432
33,2337.78,0.31297,0.26689,0.37577,0.89595,0.96953,0.9511,0.99091,0.988,0.96953,0.9511,0.99091,0.98806,0.26387,0.17568,0.35399,0.85268,0.000641605,0.000641605,0.000641605
34,2408.82,0.29901,0.2714,0.35398,0.89393,0.96655,0.94755,0.99333,0.98527,0.96655,0.94755,0.99333,0.99077,0.26626,0.18112,0.32273,0.85733,0.000630561,0.000630561,0.000630561
35,2479.15,0.29867,0.28557,0.34931,0.89269,0.95085,0.95352,0.98119,0.90766,0.95085,0.95352,0.98119,0.9199,0.37147,0.19862,0.43743,0.96601,0.000619309,0.000619309,0.000619309
36,2549.39,0.36468,0.31998,0.43296,0.94347,0.98568,0.98419,0.99406,0.96021,0.98568,0.98419,0.99406,0.96968,0.26719,0.2035,0.32923,0.85361,0.000607861,0.000607861,0.000607861
37,2619.52,0.28327,0.24125,0.33681,0.89421,0.98432,1,0.995,0.98226,0.98432,1,0.995,0.98949,0.25025,0.17633,0.28023,0.84297,0.000596229,0.000596229,0.000596229
38,2689.67,0.28888,0.3194,0.36837,0.88905,0.98368,0.9955,0.995,0.98214,0.98368,0.9955,0.995,0.98364,0.26331,0.19387,0.24588,0.85299,0.000584423,0.000584423,0.000584423
39,2759.89,0.2741,0.25485,0.33238,0.8754,0.99176,0.96778,0.995,0.9891,0.99176,0.96778,0.995,0.98938,0.22392,0.17941,0.29072,0.82723,0.000572456,0.000572456,0.000572456
40,2829.79,0.2654,0.22459,0.33943,0.88423,0.97203,0.93377,0.98161,0.97407,0.97203,0.93377,0.98161,0.97619,0.24347,0.17245,0.28426,0.83745,0.000560339,0.000560339,0.000560339
41,2900.04,0.26262,0.2303,0.326,0.88712,0.90545,0.95001,0.9445,0.93224,0.90545,0.95001,0.9445,0.94333,0.25554,0.16616,0.37939,0.84194,0.000548084,0.000548084,0.000548084
42,2970.49,0.25695,0.25693,0.32911,0.88461,0.95644,0.96492,0.98888,0.98191,0.95644,0.96492,0.98888,0.98776,0.23646,0.15716,0.29615,0.83464,0.000535703,0.000535703,0.000535703
43,3042.77,0.25214,0.21316,0.30636,0.87463,0.95607,0.95146,0.98997,0.98534,0.95607,0.95146,0.98997,0.98757,0.21978,0.17326,0.30223,0.8222,0.000523209,0.000523209,0.000523209
44,3115.21,0.2745,0.23864,0.33183,0.87787,0.95664,0.9261,0.96559,0.96018,0.95664,0.9261,0.96559,0.96207,0.23438,0.18018,0.36034,0.84577,0.000510613,0.000510613,0.000510613
45,3188.24,0.28891,0.24352,0.35931,0.90039,0.95017,0.96308,0.99083,0.98045,0.95017,0.96308,0.99083,0.98686,0.22999,0.18422,0.31706,0.83464,0.000497929,0.000497929,0.000497929
46,3260.43,0.26229,0.26086,0.30027,0.8694,0.99072,0.98652,0.995,0.97943,0.99072,0.98652,0.995,0.98964,0.23624,0.1694,0.23384,0.83083,0.000485168,0.000485168,0.000485168
